comment,clean_comment,sentiment
😍🤟🤟 nice 👍 song 😍,nice song,Positive
02/08/2025 me kon dekh raha hai😊,kon dekh raha hai,Neutral
😂😂😂😂😅😅😅😅,,Neutral
2 September 2025 ko sunne Wale like kare,september ko sunne wale like kare,Positive
2025 nhi 3025 tk sunna hai meko,nhi tk sunna hai meko,Neutral
2.9.2025 any one,one,Neutral
All time Fav ❤❤❤,time fav,Positive
02/09/2025    2:06Am,,Neutral
"1 / 9 /25
god of song kk
voice of heaven",god song kk voice heaven,Positive
2:59 ।❤❤❤,,Neutral
Main sun rha hun my best song,main sun rha hun best song,Positive
2/9/2025 mae kon deekh ra hai,mae kon deekh ra hai,Neutral
খুবি সুন্দর লাগলো গানটি❤🎉?😊,,Neutral
"dua
Gho",dua gho,Neutral
01/09/2025❤,,Neutral
It's the birthday month of my one and only I'm so happy but he said we are just good friends but I plan my whole life with him he know about my feelings 🙂 🫠,birthday month one im happy said good friend plan whole life know feeling,Positive
1/9/25,,Neutral
"This song is a masterpiece 





❤❤❤❤❤❤❤❤







🥰🥰🥰🥰🥰🥰🥰🥰🥰








🌹🌹🌹🌹🌹🌹🌹🌹🌹",song masterpiece,Positive
01/9/2025 m kon dekh rha h ❤,kon dekh rha h,Neutral
1 September wale attendance lagao🫡,september wale attendance lagao,Neutral
01/08/2025 me kon dekh raha he 🫡,kon dekh raha,Neutral
Its 1st September 2025❤,september,Neutral
EARTH CREATER IS VISHNU LAXMIEE IS HEAVEN SITT IS GOD YAHOWA CHRISTIAN IBRANI YAHAWAH HE ALL LIVEN IN SKY HEAVEN OF HELL OF ROMAN CATHOLIC BIBLE PATHWAY OF KING JEHOVAH IS MAHAMAHIM PERMESHWER JEHOVAH CHRISTIAN IBRANI,earth creater vishnu laxmiee heaven sitt god yahowa christian ibrani yahawah liven sky heaven hell roman catholic bible pathway king jehovah mahamahim permeshwer jehovah christian ibrani,Positive
01/11/2025 😅😊😂,,Neutral
Morning 5;:00vje sun rha hu 🫶🏻🥹,morning sun rha hu,Neutral
1 September 2025😅😅😅,september,Neutral
Wow❤❤ super ❤❤nice ❤,wow super nice,Positive
1september 2025,,Neutral
31/8/2025 me kon dekh raha hai 😊😊,kon dekh raha hai,Neutral
Single Hoka b is song ka har line Dil pa lagta hia 😢,single hoka b song ka har line dil pa lagta hia,Neutral
31/8/2025 10:25 pm ❤❤,pm,Neutral
❤❤❤ love songs,love song,Positive
"Wherever you are, I still love you Somnath ❤ I will always love you Babu.",wherever still love somnath always love babu,Positive
31 August 2025,august,Neutral
31/8/2025 ko kon kon dehk rha hai,ko kon kon dehk rha hai,Neutral
🥺,,Neutral
Yes,yes,Positive
31/08/2025 main Kon dekh rha h,main kon dekh rha h,Neutral
Last day of august 🤌🏻,last day august,Neutral
31August 2025,,Neutral
31/8/2025me kaun-kaun dekh raha hai,kaunkaun dekh raha hai,Neutral
01/09/25 kon dekh raha hai ❤,kon dekh raha hai,Neutral
31:08:2025❤️‍🩹 I miss you baccha 🥺🤌🏻🫂,miss baccha,Neutral
Movie name?,movie name,Neutral
Movie name?,movie name,Neutral
Me bas ghumne aya hu sunne nahi 💔🙂,ba ghumne aya hu sunne nahi,Neutral
Mera fevrete song❤❤,mera fevrete song,Neutral
30/8/2025❤,,Neutral
Favourite song ❤😊,favourite song,Neutral
❤️‍🩹💔,,Neutral
Not just a song my emotions just in one song 🎧 🤧,song emotion one song,Neutral
N😮😮e lo,ne lo,Neutral
I miss you kk sir. Only you can do this sir.,miss kk sir sir,Neutral
Tere hi khayalo mein duba raha ❤❤ 01/01/2040,tere hi khayalo mein duba raha,Neutral
❤,,Neutral
30/08/2025 main kon dekh raha hai ☺️☺️,main kon dekh raha hai,Neutral
🔥🌋,,Neutral
😢😢,,Neutral
To the life I never could live ❤️,life never could live,Neutral
KK🖤🧬,kk,Positive
Mind blowing song. Just pagol hoye jai .,mind blowing song pagol hoye jai,Neutral
KK sir's voice 💓,kk sir voice,Positive
Ye wahi h kia bhola ji bhola ji wala😂😂 tapatap,ye wahi h kia bhola ji bhola ji wala tapatap,Negative
30 August main line dehk Raha hai,august main line dehk raha hai,Neutral
Blockbuster hit song,blockbuster hit song,Positive
29 august 2025,august,Neutral
👍,,Neutral
💔😭😭😭,,Neutral
29/08/25 main kon kon dekh raha hai😢,main kon kon dekh raha hai,Neutral
29/8/2025❤🎉🎉🎉,,Neutral
29/08/2025 me kon dek raha hai😂,kon dek raha hai,Neutral
28 Aug😢😢,aug,Neutral
😢 Like song lyrics,like song lyric,Positive
1:32 this  emotions❤,emotion,Neutral
"Sayeed Quadri, Pritam & KK 
And another fabulous song",sayeed quadri pritam kk another fabulous song,Positive
Valo basle tar puro tai valo baste hoi tar kono dos dhorte nai,valo basle tar puro tai valo baste hoi tar kono do dhorte nai,Neutral
00:25,,Neutral
